No,Player,Age,Pos,G,GS,Wt,Ht,BirthDate,Yrs,AV,Team,Year
98.0,N Eason,31,DT,16,6.0,305.0,75.0,5/29/1980,7,3,CRD,2011.0
3.0,J Feely,35,PK,16,0.0,208.0,70.0,5/23/1976,10,2,CRD,2011.0
11.0,L Fitzgerald,28,WR,16,16.0,218.0,75.0,8/31/1983,7,10,CRD,2011.0
5.0,B Graham,38,PK,1,0.0,236.0,77.0,11/2/1973,6,0,CRD,2011.0
30.0,M Green,25,DB,1,0.0,175.0,69.0,1/14/1986,0,0,CRD,2011.0
70.0,R Hadnot,29,GC,16,16.0,310.0,74.0,1/28/1982,7,7,CRD,2011.0
53.0,C Haggans,34,LB,16,16.0,243.0,76.0,1/10/1977,11,7,CRD,2011.0
86.0,T Heap,31,TE,10,4.0,252.0,77.0,3/16/1980,10,2,CRD,2011.0
91.0,V Holliday,36,DE,16,0.0,288.0,77.0,12/11/1975,13,2,CRD,2011.0
84.0,R Housler,23,TE,12,2.0,238.0,77.0,3/17/1988,0,1,CRD,2011.0
20.0,A Jefferson,23,DB,16,7.0,190.0,72.0,4/4/1988,1,4,CRD,2011.0
83.0,J Johnson,27,WR,1,0.0,176.0,72.0,7/10/1984,3,0,CRD,2011.0
49.0,R Johnson,25,DB,16,9.0,195.0,72.0,1/2/1986,2,4,CRD,2011.0
72.0,B Keith,27,T,13,11.0,343.0,77.0,11/21/1984,3,5,CRD,2011.0
87.0,J King,28,TE,16,10.0,260.0,75.0,2/19/1983,5,2,CRD,2011.0
4.0,K Kolb,27,QB,9,9.0,218.0,75.0,8/24/1984,4,5,CRD,2011.0
82.0,M Leach,35,TE,16,0.0,235.0,74.0,10/18/1976,11,1,CRD,2011.0
51.0,P Lenon,34,LB,16,16.0,240.0,74.0,11/26/1977,9,8,CRD,2011.0
76.0,D Lutui,28,GC,15,0.0,338.0,76.0,5/5/1983,5,1,CRD,2011.0
31.0,R Marshall,27,DB,16,9.0,198.0,71.0,12/12/1984,5,5,CRD,2011.0
45.0,R Maui'a,27,RB,3,3.0,260.0,72.0,7/6/1984,4,0,CRD,2011.0
21.0,P Peterson,21,DB,16,16.0,198.0,73.0,7/11/1990,0,22,CRD,2011.0
55.0,J Porter,34,LB,6,6.0,248.0,75.0,3/22/1977,12,3,CRD,2011.0
25.0,K Rhodes,29,DB,7,7.0,212.0,75.0,8/2/1982,6,3,CRD,2011.0
12.0,A Roberts,23,WR,16,16.0,195.0,71.0,1/9/1988,1,4,CRD,2011.0
89.0,D Sampson,26,WR,12,0.0,201.0,74.0,12/19/1985,0,0,CRD,2011.0
50.0,O Schofield,24,LB,16,0.0,238.0,74.0,4/3/1987,1,2,CRD,2011.0
63.0,L Sendlein,27,GC,16,16.0,299.0,75.0,3/16/1984,4,7,CRD,2011.0
35.0,A Sherman,23,RB,15,7.0,242.0,70.0,12/11/1988,0,1,CRD,2011.0
19.0,J Skelton,23,QB,8,7.0,244.0,77.0,3/17/1988,1,4,CRD,2011.0
46.0,A Smith,24,RB,15,0.0,208.0,73.0,1/23/1987,1,1,CRD,2011.0
36.0,L Stephens-Howling,24,RB,14,1.0,180.0,67.0,4/26/1987,2,3,CRD,2011.0
17.0,C Stuckey,28,WR,9,0.0,182.0,70.0,10/4/1983,3,0,CRD,2011.0
96.0,R Talley,25,DE,6,0.0,282.0,75.0,2/21/1986,0,0,CRD,2011.0
29.0,C Taylor,32,RB,12,1.0,208.0,71.0,9/22/1979,9,1,CRD,2011.0
56.0,R Walker,25,LB,16,0.0,238.0,72.0,12/15/1986,2,1,CRD,2011.0
58.0,D Washington,25,LB,15,14.0,226.0,74.0,10/9/1986,1,8,CRD,2011.0
26.0,B Wells,23,RB,14,14.0,235.0,73.0,8/7/1988,2,6,CRD,2011.0
92.0,D Williams,24,DT,10,10.0,330.0,74.0,6/1/1987,1,4,CRD,2011.0
18.0,S Williams,25,WR,2,0.0,199.0,77.0,6/29/1986,1,0,CRD,2011.0
24.0,A Wilson,32,DB,16,16.0,230.0,75.0,10/12/1979,10,9,CRD,2011.0
9.0,D Zastudil,33,PK,15,0.0,220.0,75.0,10/26/1978,9,2,CRD,2011.0
94.0,S Acho,24,LB,16,16.0,259.0,75.0,9/6/1988,1,9,CRD,2012.0
27.0,M Adams,27,DB,15,0.0,178.0,68.0,6/17/1985,5,1,CRD,2012.0
74.0,D Batiste,30,T,15,10.0,314.0,76.0,3/29/1982,5,3,CRD,2012.0
31.0,J Bethel,22,DB,16,0.0,200.0,72.0,6/17/1990,0,1,CRD,2012.0
55.0,S Bradley,29,LB,16,0.0,254.0,76.0,11/2/1983,5,1,CRD,2012.0
32.0,C Butler,25,DB,1,0.0,183.0,72.0,5/26/1987,2,0,CRD,2012.0
17.0,L Byrd,23,WR,4,0.0,220.0,76.0,8/18/1989,0,0,CRD,2012.0
93.0,C Campbell,26,DE,13,12.0,300.0,80.0,9/1/1986,4,8,CRD,2012.0
79.0,D Carter,25,DT,16,4.0,297.0,76.0,12/10/1987,1,3,CRD,2012.0
71.0,D Colledge,30,T,16,16.0,308.0,76.0,2/11/1982,6,5,CRD,2012.0
90.0,D Dockett,31,DT,15,14.0,290.0,76.0,5/27/1981,8,8,CRD,2012.0
85.0,E Doucet,27,WR,12,3.0,211.0,72.0,10/28/1985,4,1,CRD,2012.0
81.0,J Dray,26,TE,13,0.0,253.0,77.0,12/31/1986,2,0,CRD,2012.0
98.0,N Eason,32,DT,16,1.0,305.0,75.0,5/29/1980,8,2,CRD,2012.0
3.0,J Feely,36,PK,16,0.0,208.0,70.0,5/23/1976,11,4,CRD,2012.0
11.0,L Fitzgerald,29,WR,16,16.0,218.0,75.0,8/31/1983,8,5,CRD,2012.0
23.0,J Fleming,23,DB,15,3.0,206.0,71.0,5/5/1989,0,2,CRD,2012.0
15.0,M Floyd,23,WR,16,3.0,220.0,75.0,11/27/1989,0,3,CRD,2012.0
22.0,W Gay,27,DB,16,15.0,187.0,70.0,1/1/1985,5,7,CRD,2012.0
54.0,Q Groves,28,LB,16,7.0,250.0,75.0,7/5/1984,4,5,CRD,2012.0
86.0,T Heap,32,TE,2,1.0,252.0,77.0,3/16/1980,11,1,CRD,2012.0
91.0,V Holliday,37,DE,16,1.0,288.0,77.0,12/11/1975,14,2,CRD,2012.0
84.0,R Housler,24,TE,15,9.0,238.0,77.0,3/17/1988,1,3,CRD,2012.0
6.0,B Hoyer,27,QB,2,1.0,216.0,74.0,10/13/1985,3,1,CRD,2012.0
49.0,R Johnson,26,DB,15,3.0,195.0,72.0,1/2/1986,3,3,CRD,2012.0
64.0,S Kelemete,22,T,1,0.0,301.0,75.0,5/10/1990,0,0,CRD,2012.0
87.0,J King,29,TE,16,12.0,260.0,75.0,2/19/1983,6,1,CRD,2012.0
4.0,K Kolb,28,QB,6,5.0,218.0,75.0,8/24/1984,5,3,CRD,2012.0
82.0,M Leach,36,TE,16,0.0,235.0,74.0,10/18/1976,12,1,CRD,2012.0
51.0,P Lenon,35,LB,16,16.0,240.0,74.0,11/26/1977,10,10,CRD,2012.0
14.0,R Lindley,23,QB,6,4.0,229.0,75.0,6/2/1989,0,-5,CRD,2012.0
95.0,R Lumpkin,24,DT,1,0.0,306.0,76.0,9/7/1988,1,0,CRD,2012.0
70.0,B Massie,23,T,16,16.0,316.0,78.0,8/1/1989,0,5,CRD,2012.0
45.0,R Maui'a,28,RB,3,1.0,260.0,72.0,7/6/1984,5,0,CRD,2012.0
67.0,P McQuistan,29,T,6,3.0,317.0,78.0,4/30/1983,6,1,CRD,2012.0
59.0,Z Nash,23,LB,8,0.0,260.0,76.0,9/23/1989,0,1,CRD,2012.0
72.0,R Ohrnberger,26,GC,13,4.0,291.0,74.0,2/14/1986,3,2,CRD,2012.0
21.0,P Peterson,22,DB,16,16.0,198.0,73.0,7/11/1990,1,13,CRD,2012.0
76.0,N Potter,24,T,8,6.0,303.0,78.0,5/16/1988,0,2,CRD,2012.0
33.0,W Powell,24,RB,13,1.0,207.0,69.0,3/9/1988,1,2,CRD,2012.0
25.0,K Rhodes,30,DB,15,15.0,212.0,75.0,8/2/1982,7,7,CRD,2012.0
12.0,A Roberts,24,WR,15,15.0,195.0,71.0,1/9/1988,2,5,CRD,2012.0
39.0,J Sanders,29,DB,15,0.0,210.0,70.0,11/11/1983,7,2,CRD,2012.0
50.0,O Schofield,25,LB,9,9.0,238.0,74.0,4/3/1987,2,5,CRD,2012.0
63.0,L Sendlein,28,GC,11,11.0,299.0,75.0,3/16/1984,5,3,CRD,2012.0
35.0,A Sherman,24,RB,13,4.0,242.0,70.0,12/11/1988,1,0,CRD,2012.0
19.0,J Skelton,24,QB,7,6.0,244.0,77.0,3/17/1988,2,-2,CRD,2012.0
29.0,A Smith,25,RB,11,0.0,208.0,73.0,1/23/1987,2,0,CRD,2012.0
68.0,A Snyder,30,T,14,14.0,325.0,78.0,1/30/1982,7,4,CRD,2012.0
83.0,K Sperry,27,TE,1,0.0,242.0,76.0,4/10/1985,3,0,CRD,2012.0
36.0,L Stephens-Howling,25,RB,14,5.0,180.0,67.0,4/26/1987,3,2,CRD,2012.0
96.0,R Talley,26,DE,3,1.0,282.0,75.0,2/21/1986,1,1,CRD,2012.0
28.0,G Toler,27,DB,11,2.0,191.0,71.0,1/2/1985,3,2,CRD,2012.0
56.0,R Walker,26,LB,14,0.0,238.0,72.0,12/15/1986,3,1,CRD,2012.0
58.0,D Washington,26,LB,16,16.0,226.0,74.0,10/9/1986,2,16,CRD,2012.0
66.0,S Wedige,24,OL,2,0.0,310.0,76.0,11/20/1988,0,0,CRD,2012.0
26.0,B Wells,24,RB,8,7.0,235.0,73.0,8/7/1988,3,1,CRD,2012.0
57.0,J Westerman,27,DE,5,0.0,265.0,75.0,2/21/1985,3,0,CRD,2012.0
92.0,D Williams,25,DT,15,11.0,330.0,74.0,6/1/1987,2,7,CRD,2012.0
34.0,R Williams,22,RB,5,3.0,205.0,70.0,4/9/1990,1,1,CRD,2012.0
24.0,A Wilson,33,DB,15,14.0,230.0,75.0,10/12/1979,11,6,CRD,2012.0
9.0,D Zastudil,34,PK,16,0.0,220.0,75.0,10/26/1978,10,3,CRD,2012.0
55.0,J Abraham,35,DE,16,13.0,263.0,76.0,5/6/1978,13,9,CRD,2013.0
94.0,S Acho,25,LB,3,2.0,259.0,75.0,9/6/1988,2,1,CRD,2013.0
97.0,L Alexander,30,LB,3,3.0,245.0,73.0,5/31/1983,6,1,CRD,2013.0
35.0,J Arenas,26,DB,16,0.0,195.0,69.0,10/28/1987,3,1,CRD,2013.0
86.0,J Ballard,26,TE,8,3.0,256.0,78.0,12/2/1987,3,1,CRD,2013.0
37.0,Y Bell,35,DB,16,16.0,205.0,72.0,3/3/1978,9,6,CRD,2013.0
59.0,M Benard,28,LB,12,1.0,256.0,74.0,7/26/1985,4,2,CRD,2013.0
31.0,J Bethel,23,DB,16,0.0,200.0,72.0,6/17/1990,1,3,CRD,2013.0
52.0,J Brinkley,28,LB,15,3.0,275.0,74.0,7/12/1985,4,2,CRD,2013.0
13.0,J Brown,23,WR,16,0.0,204.0,75.0,1/8/1990,0,1,CRD,2013.0
75.0,L Brown,29,T,4,4.0,323.0,78.0,3/16/1984,6,2,CRD,2013.0
93.0,C Campbell,27,DE,16,16.0,300.0,80.0,9/1/1986,5,9,CRD,2013.0
20.0,A Cason,27,DB,16,0.0,190.0,72.0,7/9/1986,5,2,CRD,2013.0
71.0,D Colledge,31,T,16,16.0,308.0,76.0,2/11/1982,7,7,CRD,2013.0
56.0,K Dansby,32,LB,16,16.0,250.0,76.0,11/3/1981,9,16,CRD,2013.0
54.0,K Demens,23,LB,2,0.0,242.0,73.0,2/4/1990,0,0,CRD,2013.0
90.0,D Dockett,32,DT,16,16.0,290.0,76.0,5/27/1981,9,8,CRD,2013.0
81.0,J Dray,27,TE,16,15.0,253.0,77.0,12/31/1986,3,2,CRD,2013.0
38.0,A Ellington,24,RB,15,1.0,200.0,69.0,2/3/1989,0,7,CRD,2013.0
74.0,P Fanaika,27,GC,16,16.0,333.0,78.0,4/9/1986,4,7,CRD,2013.0
4.0,J Feely,37,PK,16,0.0,208.0,70.0,5/23/1976,12,2,CRD,2013.0
11.0,L Fitzgerald,30,WR,16,16.0,218.0,75.0,8/31/1983,9,7,CRD,2013.0
15.0,M Floyd,24,WR,16,16.0,220.0,75.0,11/27/1989,1,8,CRD,2013.0
69.0,M Gibson,28,T,16,0.0,302.0,75.0,11/18/1985,5,1,CRD,2013.0
10.0,B Golden,25,WR,5,0.0,186.0,71.0,7/20/1988,1,1,CRD,2013.0
84.0,R Housler,25,TE,13,10.0,238.0,77.0,3/17/1988,2,4,CRD,2013.0
0,R Hughes,24,RB,1,0,235.0,71.0,6/21/1989,2,0,CRD,2013.0
22.0,T Jefferson,21,S,16,2.0,211.0,71.0,1/27/1992,0,2,CRD,2013.0
26.0,R Johnson,27,DB,13,7.0,195.0,72.0,1/2/1986,4,3,CRD,2013.0
82.0,M Leach,37,TE,16,0.0,235.0,74.0,10/18/1976,13,1,CRD,2013.0
70.0,B Massie,24,T,8,0.0,316.0,78.0,8/1/1989,1,1,CRD,2013.0
32.0,T Mathieu,21,DB,13,11.0,190.0,69.0,5/13/1992,0,4,CRD,2013.0
23.0,B McCann,26,DB,6,0.0,182.0,70.0,9/29/1987,3,0,CRD,2013.0
28.0,R Mendenhall,26,RB,15,15.0,210.0,71.0,6/19/1987,5,3,CRD,2013.0
51.0,K Minter,23,LB,13,0.0,246.0,72.0,12/3/1990,0,1,CRD,2013.0
50.0,D Moch,25,DL,4,0.0,238.0,74.0,7/19/1988,2,0,CRD,2013.0
57.0,A Okafor,22,DE,1,0.0,261.0,76.0,2/8/1991,0,0,CRD,2013.0
3.0,C Palmer,34,QB,16,16.0,235.0,77.0,12/27/1979,9,11,CRD,2013.0
21.0,P Peterson,23,DB,16,16.0,198.0,73.0,7/11/1990,2,16,CRD,2013.0
76.0,N Potter,25,T,13,0.0,303.0,78.0,5/16/1988,1,1,CRD,2013.0
25.0,J Powers,26,DB,16,16.0,190.0,69.0,7/19/1987,4,6,CRD,2013.0
12.0,A Roberts,25,WR,16,2.0,195.0,71.0,1/9/1988,3,4,CRD,2013.0
98.0,F Rucker,30,DE,16,1.0,261.0,75.0,9/14/1983,6,2,CRD,2013.0
63.0,L Sendlein,29,GC,16,16.0,299.0,75.0,3/16/1984,6,7,CRD,2013.0
91.0,M Shaughnessy,27,DE,16,12.0,260.0,77.0,9/23/1986,4,7,CRD,2013.0
29.0,A Smith,26,RB,16,0.0,208.0,73.0,1/23/1987,3,1,CRD,2013.0
59.0,V So'oto,26,LB,1,0.0,263.0,75.0,1/1/1987,2,0,CRD,2013.0
79.0,B Sowell,24,T,16,12.0,277.0,78.0,6/6/1989,1,6,CRD,2013.0
83.0,K Sperry,28,TE,8,2.0,242.0,76.0,4/10/1985,4,0,CRD,2013.0
66.0,A Ta'amu,23,DT,14,3.0,348.0,75.0,8/23/1990,1,2,CRD,2013.0
96.0,R Talley,27,DE,6,0.0,282.0,75.0,2/21/1986,2,1,CRD,2013.0
27.0,C Taylor,28,DB,1,0.0,208.0,74.0,7/13/1985,4,0,CRD,2013.0
18.0,K Taylor,24,WR,3,0.0,197.0,72.0,2/20/1989,2,0,CRD,2013.0
30.0,S Taylor,22,RB,16,0.0,214.0,69.0,6/9/1991,0,1,CRD,2013.0
58.0,D Washington,27,LB,12,12.0,226.0,74.0,10/9/1986,3,7,CRD,2013.0
92.0,D Williams,26,DT,14,10.0,330.0,74.0,6/1/1987,3,5,CRD,2013.0
16.0,T Williams,25,DB,3,0.0,210.0,73.0,7/3/1988,2,0,CRD,2013.0
73.0,E Winston,30,T,16,16.0,310.0,79.0,11/17/1983,7,7,CRD,2013.0
9.0,D Zastudil,35,PK,16,0.0,220.0,75.0,10/26/1978,11,3,CRD,2013.0
55.0,J Abraham,36,DE,1,1.0,263.0,76.0,5/6/1978,14,0,CRD,2014.0
94.0,S Acho,26,LB,16,4.0,259.0,75.0,9/6/1988,3,4,CRD,2014.0
97.0,L Alexander,31,LB,16,0.0,245.0,73.0,5/31/1983,7,1,CRD,2014.0
59.0,M Benard,29,LB,12,0.0,256.0,74.0,7/26/1985,5,1,CRD,2014.0
28.0,J Bethel,24,DB,16,0.0,200.0,72.0,6/17/1990,2,3,CRD,2014.0
13.0,J Brown,24,WR,16,2.0,204.0,75.0,1/8/1990,1,2,CRD,2014.0
12.0,J Brown,24,WR,16,5.0,178.0,71.0,4/3/1990,0,5,CRD,2014.0
36.0,D Bucannon,22,S,16,9.0,211.0,73.0,8/30/1992,0,4,CRD,2014.0
2.0,D Butler,25,PK,15,0.0,199.0,73.0,5/10/1989,2,0,CRD,2014.0
93.0,C Campbell,28,DE,14,14.0,300.0,80.0,9/1/1986,6,15,CRD,2014.0
89.0,J Carlson,30,TE,16,12.0,256.0,77.0,5/12/1984,6,2,CRD,2014.0
56.0,G Carson,24,LB,5,0.0,235.0,75.0,12/5/1990,0,1,CRD,2014.0
7.0,C Catanzaro,23,PK,16,0.0,200.0,75.0,2/26/1991,0,4,CRD,2014.0
29.0,C Clemons,29,DB,1,0.0,210.0,73.0,9/15/1985,5,0,CRD,2014.0
61.0,J Cooper,24,OG,10,2.0,308.0,74.0,1/19/1990,1,1,CRD,2014.0
31.0,A Cromartie,30,DB,16,16.0,210.0,74.0,4/15/1984,8,9,CRD,2014.0
54.0,K Demens,24,LB,14,0.0,242.0,73.0,2/4/1990,1,1,CRD,2014.0
20.0,J Dwyer,25,RB,2,0.0,235.0,71.0,7/26/1989,4,0,CRD,2014.0
38.0,A Ellington,25,RB,12,12.0,200.0,69.0,2/3/1989,1,5,CRD,2014.0
74.0,P Fanaika,28,GC,14,14.0,333.0,78.0,4/9/1986,5,6,CRD,2014.0
85.0,D Fells,28,TE,10,5.0,270.0,79.0,4/22/1986,1,0,CRD,2014.0
11.0,L Fitzgerald,31,WR,14,13.0,218.0,75.0,8/31/1983,10,6,CRD,2014.0
15.0,M Floyd,25,WR,16,14.0,220.0,75.0,11/27/1989,2,6,CRD,2014.0
50.0,L Foote,34,LB,15,15.0,239.0,73.0,6/12/1980,12,9,CRD,2014.0
19.0,T Jr.,29,WR,16,0.0,180.0,71.0,4/12/1985,7,2,CRD,2014.0
23.0,M Grice,23,RB,10,0.0,208.0,72.0,4/10/1991,0,0,CRD,2014.0
84.0,R Housler,26,TE,15,7.0,238.0,77.0,3/17/1988,3,1,CRD,2014.0
39.0,R Hughes,25,RB,16,4.0,235.0,71.0,6/21/1989,3,1,CRD,2014.0
22.0,T Jefferson,22,S,16,8.0,211.0,71.0,1/27/1992,1,3,CRD,2014.0
26.0,R Johnson,28,DB,16,16.0,195.0,72.0,1/2/1986,5,7,CRD,2014.0
53.0,T Keiser,25,DE,3,1.0,244.0,76.0,3/28/1989,3,1,CRD,2014.0
95.0,T Kelly,34,DE,16,13.0,310.0,78.0,12/27/1980,10,7,CRD,2014.0
62.0,T Larsen,27,GC,16,16.0,323.0,75.0,6/13/1987,4,7,CRD,2014.0
82.0,M Leach,38,TE,16,0.0,235.0,74.0,10/18/1976,14,1,CRD,2014.0
14.0,R Lindley,25,QB,3,2.0,229.0,75.0,6/2/1989,2,1,CRD,2014.0
96.0,K Martin,22,DE,11,2.0,272.0,78.0,2/19/1992,0,2,CRD,2014.0
70.0,B Massie,25,T,16,16.0,316.0,78.0,8/1/1989,2,7,CRD,2014.0
32.0,T Mathieu,22,DB,13,6.0,190.0,69.0,5/13/1992,1,3,CRD,2014.0
73.0,J Mauro,23,DE,5,2.0,290.0,78.0,2/17/1991,0,1,CRD,2014.0
51.0,K Minter,24,LB,16,5.0,246.0,72.0,12/3/1990,1,4,CRD,2014.0
87.0,T Niklas,22,TE,7,2.0,270.0,78.0,9/18/1992,0,0,CRD,2014.0
57.0,A Okafor,23,DE,13,12.0,261.0,76.0,2/8/1991,1,7,CRD,2014.0
3.0,C Palmer,35,QB,6,6.0,235.0,77.0,12/27/1979,10,4,CRD,2014.0
34.0,J Parmele,29,RB,1,0.0,224.0,72.0,12/30/1985,6,0,CRD,2014.0
0,S Patton,24,WR,6,0,177.0,69.0,10/17/1990,0,0,CRD,2014.0
21.0,P Peterson,24,DB,16,16.0,198.0,73.0,7/11/1990,3,9,CRD,2014.0
