No,Player,Age,Pos,G,GS,Wt,Ht,BirthDate,Yrs,AV,Team,Year
56.0,D Fowler,27.0,LB,14,6,255.0,75.0,8/3/1994,5,3.0,ATL,2021
15.0,F Franks,24.0,QB,9,0,234.0,78.0,12/22/1997,0,0.0,ATL,2021
14.0,R Gage,25.0,WR,14,9,184.0,72.0,1/22/1996,3,6.0,ATL,2021
66.0,C Gossett,26.0,GC,14,1,311.0,77.0,6/23/1995,3,1.0,ATL,2021
95.0,T Graham,23.0,DT,13,5,294.0,76.0,12/1/1998,0,2.0,ATL,2021
27.0,R Grant,24.0,S,16,0,200.0,72.0,11/9/1997,0,1.0,ATL,2021
34.0,D Hall,21.0,DB,14,1,190.0,72.0,5/2/2000,0,1.0,ATL,2021
21.0,D Harmon,30.0,S,17,17,205.0,72.0,1/24/1991,8,5.0,ATL,2021
47.0,J Harris,32.0,LS,17,0,224.0,73.0,4/27/1989,9,0.0,ATL,2021
32.0,J Hawkins,24.0,S,14,4,208.0,73.0,8/25/1997,1,2.0,ATL,2021
61.0,M Hennessy,24.0,OL,17,17,307.0,75.0,11/17/1997,1,6.0,ATL,2021
46.0,P Hesse,26.0,TE,8,1,261.0,75.0,5/26/1995,0,0.0,ATL,2021
81.0,H Hurst,28.0,TE,13,5,260.0,76.0,8/24/1993,3,2.0,ATL,2021
97.0,G Jarrett,28.0,DT,17,17,305.0,72.0,4/28/1993,6,6.0,ATL,2021
45.0,D Jones,27.0,LB,16,16,227.0,73.0,11/4/1994,5,6.0,ATL,2021
33.0,L Kirk,25.0,DB,1,0,195.0,74.0,11/7/1996,0,0.0,ATL,2021
7.0,Y Koo,27.0,PK,17,0,185.0,69.0,8/3/1994,4,5.0,ATL,2021
71.0,R Leonard,25.0,T,2,0,311.0,79.0,11/22/1996,3,0.0,ATL,2021
63.0,C Lindstrom,24.0,OL,17,17,307.0,75.0,2/28/1997,2,6.0,ATL,2021
70.0,J Matthews,29.0,T,17,17,309.0,77.0,2/11/1992,7,7.0,ATL,2021
77.0,J Mayfield,21.0,OL,16,16,320.0,77.0,5/23/2000,0,7.0,ATL,2021
76.0,K McGary,26.0,OL,16,16,306.0,78.0,2/22/1995,2,7.0,ATL,2021
55.0,S Means,31.0,DE,14,14,263.0,75.0,9/16/1990,8,5.0,ATL,2021
22.0,F Moreau,27.0,DB,16,16,204.0,72.0,4/9/1994,4,5.0,ATL,2021
19.0,T Morstead,35.0,PK,7,0,235.0,76.0,3/8/1986,12,1.0,ATL,2021
92.0,A Ogundeji,23.0,LB,16,11,268.0,76.0,10/9/1998,0,4.0,ATL,2021
30.0,Q Ollison,25.0,RB,8,0,232.0,73.0,9/8/1996,2,1.0,ATL,2021
54.0,F Oluokun,26.0,LB,17,17,215.0,74.0,8/2/1995,3,7.0,ATL,2021
84.0,C Patterson,30.0,WR,16,13,220.0,74.0,3/17/1991,8,8.0,ATL,2021
98.0,M Pennel,30.0,DT,10,0,330.0,76.0,5/9/1991,7,1.0,ATL,2021
8.0,K Pitts,21.0,TE,17,15,246.0,78.0,10/6/2000,0,8.0,ATL,2021
16.0,J Rosen,24.0,QB,4,0,226.0,76.0,2/10/1997,3,0.0,ATL,2021
71.0,A Rush,25.0,DT,10,6,361.0,76.0,9/1/1996,2,2.0,ATL,2021
2.0,M Ryan,36.0,QB,17,17,217.0,76.0,5/17/1985,13,10.0,ATL,2021
4.0,T Sharpe,27.0,WR,15,7,194.0,74.0,12/23/1994,5,2.0,ATL,2021
20.0,K Sheffield,25.0,DB,9,0,212.0,70.0,5/30/1996,2,0.0,ATL,2021
40.0,K Smith,29.0,LB,17,8,240.0,72.0,4/8/1992,7,1.0,ATL,2021
85.0,L Smith,34.0,TE,16,6,265.0,78.0,11/21/1987,10,1.0,ATL,2021
69.0,J Spriggs,27.0,T,15,1,301.0,78.0,5/17/1994,5,1.0,ATL,2021
24.0,A Terrell,23.0,DB,16,16,195.0,73.0,9/23/1998,1,10.0,ATL,2021
79.0,N Thurman,26.0,DT,1,0,305.0,76.0,6/12/1995,1,0.0,ATL,2021
82.0,A Trammell,23.0,WR,2,0,185.0,70.0,7/4/1998,0,0.0,ATL,2021
93.0,J Vaughters,28.0,LB,10,0,256.0,73.0,6/27/1993,2,1.0,ATL,2021
3.0,M Walker,24.0,LB,17,2,230.0,75.0,8/28/1997,1,2.0,ATL,2021
35.0,A Williams,23.0,LB,15,1,195.0,69.0,7/15/1998,0,1.0,ATL,2021
36.0,S Williams,30.0,S,6,2,212.0,72.0,5/13/1991,8,1.0,ATL,2021
17.0,O Zaccheaus,24.0,WR,17,8,193.0,68.0,7/23/1997,2,3.0,ATL,2021
18.0,C Ridley,27.0,WR,5,5,190.0,73.0,12/20/1994,3,2.0,ATL,2021
52.0,E Ellerbee,25.0,LB,4,0,235.0,73.0,11/20/1996,3,0.0,ATL,2021
23.0,E Harris,31.0,DB,12,12,225.0,74.0,4/2/1990,5,3.0,ATL,2021
26.0,I Oliver,25.0,DB,4,3,210.0,72.0,9/30/1996,3,1.0,ATL,2021
89.0,M Andrews,26.0,TE,17,9,256.0,77.0,9/6/1995,3,10.0,RAV,2021
23.0,A Averett,27.0,DB,14,14,178.0,71.0,11/30/1994,3,6.0,RAV,2021
12.0,R Bateman,22.0,WR,12,4,210.0,74.0,11/29/1999,0,4.0,RAV,2021
49.0,C Board,26.0,LB,16,0,229.0,74.0,7/23/1995,3,1.0,RAV,2021
54.0,T Bowser,26.0,LB,17,17,242.0,75.0,5/23/1995,4,9.0,RAV,2021
80.0,M Boykin,25.0,WR,8,0,220.0,76.0,10/12/1996,2,0.0,RAV,2021
86.0,N Boyle,28.0,TE,5,3,270.0,76.0,2/17/1993,6,0.0,RAV,2021
77.0,B Bozeman,27.0,GC,16,16,325.0,77.0,11/24/1994,3,6.0,RAV,2021
5.0,M Brown,24.0,WR,16,16,180.0,69.0,6/4/1997,2,8.0,RAV,2021
56.0,J Bynes,32.0,LB,14,12,240.0,73.0,8/24/1989,10,6.0,RAV,2021
93.0,C Campbell,35.0,DE,15,14,300.0,80.0,9/1/1986,13,7.0,RAV,2021
36.0,C Clark,26.0,S,16,16,205.0,72.0,4/19/1995,4,7.0,RAV,2021
66.0,B Cleveland,23.0,GC,12,4,357.0,78.0,8/25/1998,0,2.0,RAV,2021
63.0,T Colon-Castillo,23.0,GC,12,1,313.0,75.0,3/23/1998,1,1.0,RAV,2021
13.0,D Duvernay,24.0,WR,16,7,210.0,71.0,9/12/1997,1,2.0,RAV,2021
71.0,J Ellis,31.0,DT,17,5,350.0,74.0,12/27/1990,7,3.0,RAV,2021
45.0,J Ferguson,26.0,DE,10,0,275.0,77.0,12/14/1995,2,1.0,RAV,2021
33.0,D Freeman,29.0,RB,16,8,206.0,68.0,3/15/1992,7,4.0,RAV,2021
40.0,M Harrison,23.0,LB,14,5,247.0,75.0,3/5/1998,1,3.0,RAV,2021
50.0,J Houston,32.0,LB,15,15,270.0,75.0,1/21/1989,10,8.0,RAV,2021
2.0,T Huntley,23.0,QB,7,4,196.0,73.0,2/3/1998,1,2.0,RAV,2021
8.0,L Jackson,24.0,QB,12,12,212.0,74.0,1/7/1997,3,11.0,RAV,2021
17.0,R Jackson,28.0,DB,5,0,207.0,74.0,12/8/1993,3,0.0,RAV,2021
31.0,T Jefferson,29.0,S,4,0,211.0,71.0,1/27/1992,8,0.0,RAV,2021
15.0,J Johnson,35.0,QB,1,1,219.0,75.0,5/15/1986,13,1.0,RAV,2021
61.0,J Jones-Smith,26.0,T,3,0,345.0,79.0,9/3/1995,1,0.0,RAV,2021
4.0,S Koch,39.0,PK,17,0,222.0,73.0,8/13/1982,15,2.0,RAV,2021
41.0,A Levine,34.0,S,17,1,207.0,71.0,3/27/1987,10,1.0,RAV,2021
92.0,J Madubuike,24.0,DL,15,11,293.0,75.0,11/17/1997,1,6.0,RAV,2021
69.0,K McKenzie,24.0,DT,5,0,320.0,75.0,1/3/1997,3,0.0,RAV,2021
90.0,P McPhee,33.0,DL,10,0,265.0,75.0,12/17/1988,10,1.0,RAV,2021
65.0,P Mekari,24.0,GC,13,12,308.0,76.0,8/13/1997,2,4.0,RAV,2021
46.0,N Moore,29.0,LS,17,0,248.0,74.0,12/9/1992,1,1.0,RAV,2021
28.0,L Murray,31.0,RB,14,6,230.0,75.0,1/18/1990,8,3.0,RAV,2021
84.0,J Oliver,24.0,TE,14,1,249.0,77.0,3/21/1997,2,1.0,RAV,2021
99.0,O Oweh,23.0,LB,15,2,251.0,77.0,12/15/1998,0,3.0,RAV,2021
83.0,T Poljan,24.0,TE,1,0,265.0,79.0,4/25/1997,0,0.0,RAV,2021
72.0,B Powers,25.0,OL,13,12,310.0,76.0,10/29/1996,2,4.0,RAV,2021
11.0,J Proche,25.0,WR,14,0,193.0,71.0,9/21/1996,1,2.0,RAV,2021
6.0,P Queen,22.0,LB,17,17,232.0,72.0,8/13/1999,1,9.0,RAV,2021
38.0,K Seymour,28.0,DB,9,2,185.0,72.0,11/30/1993,5,1.0,RAV,2021
62.0,D Sharpe,26.0,T,3,0,330.0,78.0,10/21/1995,4,0.0,RAV,2021
22.0,J Smith,33.0,DB,10,2,210.0,74.0,7/26/1988,10,1.0,RAV,2021
21.0,B Stephens,24.0,DB,17,11,215.0,73.0,12/29/1997,0,5.0,RAV,2021
26.0,G Stone,22.0,S,15,1,209.0,70.0,4/19/1999,1,2.0,RAV,2021
85.0,E Tomlinson,29.0,TE,17,7,263.0,78.0,4/22/1992,5,0.0,RAV,2021
9.0,J Tucker,32.0,PK,17,0,183.0,73.0,11/21/1989,9,6.0,RAV,2021
78.0,A Villanueva,33.0,T,17,17,277.0,81.0,9/22/1988,7,7.0,RAV,2021
16.0,T Wallace,22.0,WR,17,1,195.0,71.0,5/13/1999,0,0.0,RAV,2021
29.0,A Washington,22.0,S,3,0,176.0,68.0,11/2/1999,0,0.0,RAV,2021
96.0,B Washington,25.0,DL,14,2,304.0,75.0,12/4/1996,1,2.0,RAV,2021
14.0,S Watkins,28.0,WR,13,9,211.0,73.0,6/14/1993,7,3.0,RAV,2021
57.0,K Welch,23.0,LB,16,0,240.0,75.0,5/24/1998,1,1.0,RAV,2021
30.0,C Westry,24.0,DB,6,2,199.0,76.0,7/10/1997,1,1.0,RAV,2021
98.0,B Williams,32.0,DT,13,13,336.0,73.0,2/21/1989,8,7.0,RAV,2021
34.0,T Williams,25.0,RB,13,3,220.0,72.0,9/4/1996,0,2.0,RAV,2021
25.0,T Young,27.0,DB,17,7,185.0,69.0,3/14/1994,5,4.0,RAV,2021
70.0,K Zeitler,31.0,GC,17,17,315.0,76.0,3/8/1990,9,6.0,RAV,2021
32.0,D Elliott,24.0,S,6,6,210.0,73.0,4/21/1997,3,3.0,RAV,2021
59.0,D Hayes,23.0,LB,1,0,270.0,75.0,5/16/1998,0,0.0,RAV,2021
44.0,M Humphrey,25.0,DB,12,12,197.0,72.0,7/8/1996,4,5.0,RAV,2021
74.0,T Phillips,24.0,OL,10,5,344.0,77.0,1/29/1997,1,2.0,RAV,2021
42.0,P Ricard,27.0,FB,13,11,311.0,75.0,5/27/1994,4,0.0,RAV,2021
79.0,R Stanley,27.0,T,1,1,315.0,78.0,3/18/1994,5,0.0,RAV,2021
97.0,M Addison,34.0,DE,17,0,260.0,75.0,9/6/1987,10,2.0,BUF,2021
17.0,J Allen,25.0,QB,17,17,237.0,77.0,5/21/1996,3,19.0,BUF,2021
51.0,E Ankou,27.0,DT,5,0,325.0,75.0,6/8/1994,4,1.0,BUF,2021
96.0,C Basham,24.0,DL,8,0,281.0,75.0,12/16/1997,0,1.0,BUF,2021
2.0,T Bass,24.0,PK,17,0,183.0,70.0,2/14/1997,1,3.0,BUF,2021
71.0,R Bates,24.0,OL,17,4,302.0,76.0,2/14/1997,2,3.0,BUF,2021
11.0,C Beasley,32.0,WR,16,8,174.0,68.0,4/26/1989,9,7.0,BUF,2021
22.0,M Breida,26.0,RB,9,0,195.0,70.0,2/28/1995,4,2.0,BUF,2021
79.0,S Brown,23.0,T,13,10,311.0,81.0,2/28/1998,0,7.0,BUF,2021
94.0,V Butler,27.0,DT,10,1,330.0,76.0,6/14/1994,5,1.0,BUF,2021
13.0,G Davis,22.0,WR,16,4,210.0,74.0,4/1/1999,1,5.0,BUF,2021
73.0,D Dawkins,27.0,OG,16,15,320.0,77.0,4/26/1994,4,13.0,BUF,2021
14.0,S Diggs,28.0,WR,17,17,191.0,72.0,11/29/1993,6,12.0,BUF,2021
53.0,T Dodson,23.0,LB,16,0,237.0,72.0,6/25/1998,1,2.0,BUF,2021
72.0,T Doyle,23.0,OL,11,0,320.0,80.0,5/6/1998,0,1.0,BUF,2021
49.0,T Edmunds,23.0,LB,15,15,250.0,77.0,5/2/1998,3,9.0,BUF,2021
57.0,A Epenesa,23.0,DL,14,0,260.0,78.0,9/15/1998,1,1.0,BUF,2021
76.0,J Feliciano,29.0,OG,9,6,325.0,76.0,2/10/1992,6,3.0,BUF,2021
69.0,R Ferguson,27.0,LS,17,0,235.0,74.0,3/24/1994,4,1.0,BUF,2021
74.0,C Ford,25.0,OL,15,7,329.0,75.0,12/28/1996,2,4.0,BUF,2021
42.0,J Giles-Harris,24.0,LB,2,0,234.0,74.0,4/1/1997,2,0.0,BUF,2021
41.0,R Gilliam,24.0,TE,16,5,244.0,72.0,8/20/1997,1,0.0,BUF,2021
3.0,M Haack,27.0,PK,17,0,205.0,72.0,7/25/1994,4,1.0,BUF,2021
31.0,D Hamlin,23.0,S,14,0,200.0,72.0,3/24/1998,0,1.0,BUF,2021
68.0,B Hart,27.0,OG,1,0,310.0,77.0,8/21/1994,6,0.0,BUF,2021
55.0,J Hughes,33.0,DE,17,16,254.0,74.0,8/13/1988,11,9.0,BUF,2021
23.0,M Hyde,31.0,DB,17,17,197.0,72.0,12/31/1990,8,12.0,BUF,2021
30.0,D Jackson,25.0,DB,17,6,180.0,71.0,11/29/1996,1,3.0,BUF,2021
46.0,J Johnson,26.0,DB,17,1,191.0,70.0,11/6/1995,2,1.0,BUF,2021
24.0,T Johnson,25.0,DB,16,15,192.0,71.0,7/27/1996,3,6.0,BUF,2021
25.0,T Jones,33.0,RB,17,0,195.0,72.0,7/26/1988,10,0.0,BUF,2021
88.0,D Knox,25.0,TE,15,14,254.0,76.0,11/14/1996,2,6.0,BUF,2021
15.0,J Kumerow,29.0,WR,15,2,209.0,76.0,2/17/1992,3,0.0,BUF,2021
47.0,C Lewis,24.0,DB,7,1,185.0,69.0,4/13/1997,1,1.0,BUF,2021
98.0,S Lotulelei,32.0,DT,11,8,315.0,74.0,12/20/1989,8,5.0,BUF,2021
44.0,T Matakevich,29.0,LB,17,0,235.0,73.0,12/22/1992,5,2.0,BUF,2021
19.0,I McKenzie,26.0,WR,15,2,173.0,68.0,4/9/1995,4,2.0,BUF,2021
58.0,M Milano,27.0,LB,16,16,223.0,72.0,7/28/1994,4,10.0,BUF,2021
60.0,M Morse,29.0,T,17,17,305.0,78.0,4/21/1992,6,9.0,BUF,2021
20.0,Z Moss,24.0,RB,13,0,205.0,69.0,12/15/1997,1,4.0,BUF,2021
33.0,S Neal,27.0,DB,17,0,206.0,72.0,8/4/1994,3,1.0,BUF,2021
93.0,E Obada,29.0,LB,10,1,265.0,78.0,4/13/1992,3,2.0,BUF,2021
91.0,E Oliver,24.0,DL,17,17,287.0,73.0,12/12/1997,2,10.0,BUF,2021
99.0,H Phillips,25.0,DT,14,8,307.0,75.0,1/25/1996,3,6.0,BUF,2021
21.0,J Poyer,30.0,DB,16,16,191.0,72.0,4/25/1991,8,13.0,BUF,2021
50.0,G Rousseau,21.0,DE,17,17,266.0,78.0,4/5/2000,0,11.0,BUF,2021
1.0,E Sanders,34.0,WR,14,13,180.0,71.0,3/17/1987,11,6.0,BUF,2021
26.0,D Singletary,24.0,RB,17,16,203.0,67.0,9/3/1997,2,8.0,BUF,2021
59.0,A Smith,24.0,LB,15,0,240.0,72.0,4/20/1997,3,2.0,BUF,2021
5.0,M Stevenson,23.0,WR,5,0,190.0,72.0,3/26/1998,0,0.0,BUF,2021
89.0,T Sweeney,26.0,TE,13,3,251.0,77.0,7/1/1995,2,0.0,BUF,2021
10.0,M Trubisky,27.0,QB,6,0,220.0,74.0,8/20/1994,4,0.0,BUF,2021
39.0,L Wallace,26.0,DB,17,17,179.0,72.0,6/12/1995,3,7.0,BUF,2021
75.0,D Williams,29.0,T,17,17,330.0,78.0,8/31/1992,6,9.0,BUF,2021
54.0,A Klein,30.0,LB,15,4,240.0,73.0,7/30/1991,8,4.0,BUF,2021
65.0,I Boettger,27.0,GC,15,10,313.0,78.0,10/5/1994,3,6.0,BUF,2021
27.0,T White,26.0,DB,11,11,192.0,71.0,1/16/1995,4,4.0,BUF,2021
61.0,J Zimmer,29.0,DT,6,0,300.0,75.0,10/23/1992,3,1.0,BUF,2021
20.0,A Abdullah,28.0,RB,11,1,196.0,69.0,6/13/1993,6,3.0,CAR,2021
11.0,R Anderson,28.0,WR,17,16,190.0,75.0,5/9/1993,5,4.0,CAR,2021
77.0,D Brown,23.0,OL,3,0,350.0,76.0,1/15/1998,0,0.0,CAR,2021
95.0,D Brown,23.0,DL,16,14,320.0,77.0,4/15/1998,1,6.0,CAR,2021
53.0,B Burns,23.0,DE,17,16,250.0,77.0,4/23/1998,2,10.0,CAR,2021
31.0,J Burris,28.0,DB,10,8,210.0,72.0,8/4/1993,5,3.0,CAR,2021
4.0,J Carter,26.0,LB,17,17,225.0,73.0,1/14/1995,3,7.0,CAR,2021
34.0,S Chandler,25.0,S,15,7,200.0,70.0,4/27/1996,3,3.0,CAR,2021
21.0,J Chinn,23.0,S,16,16,220.0,75.0,2/26/1998,1,13.0,CAR,2021
70.0,B Christensen,25.0,T,16,6,300.0,78.0,9/27/1996,0,3.0,CAR,2021
65.0,D Daley,25.0,OL,15,9,325.0,78.0,8/7/1996,2,3.0,CAR,2021
14.0,S Darnold,24.0,QB,12,11,225.0,75.0,6/5/1997,3,6.0,CAR,2021
10.0,L Edwards,29.0,PK,10,0,209.0,76.0,4/27/1992,5,1.0,CAR,2021
60.0,P Elflein,27.0,GC,9,9,303.0,75.0,7/6/1994,4,3.0,CAR,2021
13.0,A Erickson,29.0,WR,17,0,195.0,72.0,11/6/1992,5,0.0,CAR,2021
91.0,M Fox,27.0,DL,17,9,260.0,75.0,9/12/1994,5,5.0,CAR,2021
9.0,S Gilmore,31.0,DB,8,3,202.0,73.0,9/19/1990,9,2.0,CAR,2021
97.0,Y Gross-Matos,23.0,DL,14,2,265.0,77.0,2/26/1998,1,2.0,CAR,2021
3.0,L Hajrullahu,31.0,PK,3,0,215.0,71.0,4/24/1990,0,0.0,CAR,2021
36.0,M Harper,24.0,DB,3,0,190.0,74.0,10/13/1997,1,0.0,CAR,2021
38.0,M Hartsfield,24.0,DB,10,9,210.0,71.0,8/5/1997,1,3.0,CAR,2021
98.0,M Haynes,28.0,LB,17,0,235.0,74.0,12/16/1993,3,1.0,CAR,2021
15.0,C Henderson,23.0,DB,10,5,204.0,73.0,9/30/1998,1,2.0,CAR,2021
69.0,F Herron,27.0,DL,1,0,305.0,76.0,7/9/1994,2,0.0,CAR,2021
8.0,J Horn,22.0,DB,3,3,200.0,73.0,11/26/1999,0,1.0,CAR,2021
66.0,M Horton,25.0,GC,3,0,325.0,76.0,10/7/1996,0,0.0,CAR,2021
30.0,C Hubbard,22.0,RB,17,10,210.0,73.0,6/11/1999,0,5.0,CAR,2021
44.0,J Jansen,35.0,GC,17,0,235.0,74.0,1/20/1986,12,1.0,CAR,2021
92.0,D Johnson,24.0,DE,3,0,250.0,78.0,4/4/1997,2,0.0,CAR,2021
90.0,D Jones,30.0,DT,17,17,320.0,76.0,12/27/1991,7,7.0,CAR,2021
73.0,M Jordan,23.0,OL,11,10,315.0,78.0,1/25/1998,2,3.0,CAR,2021
49.0,F Luvu,25.0,LB,16,4,235.0,75.0,9/19/1996,3,3.0,CAR,2021
47.0,K Martin,23.0,LB,6,1,240.0,75.0,6/17/1998,1,1.0,CAR,2021
29.0,R Melvin,32.0,DB,10,2,195.0,74.0,10/2/1989,8,1.0,CAR,2021
67.0,J Miller,28.0,OG,10,10,315.0,75.0,8/12/1993,6,3.0,CAR,2021
2.0,D Moore,24.0,WR,17,17,210.0,72.0,4/14/1997,3,9.0,CAR,2021
72.0,T Moton,27.0,T,17,17,325.0,77.0,8/14/1994,4,7.0,CAR,2021
1.0,C Newton,32.0,QB,8,5,245.0,77.0,5/11/1989,10,3.0,CAR,2021
94.0,D Nixon,23.0,DT,7,0,305.0,75.0,12/13/1998,0,1.0,CAR,2021
19.0,A Parker,23.0,WR,1,0,191.0,75.0,5/21/1998,0,0.0,CAR,2021
74.0,A Pleasants,24.0,T,1,0,312.0,79.0,8/22/1997,0,0.0,CAR,2021
43.0,H Reddick,27.0,LB,16,16,235.0,73.0,9/22/1994,4,8.0,CAR,2021
