Name,Date_Injured,Date_Recovered,Team,Year,Injury_Category,Age,Pos,Wt,Ht,BirthDate,Days_Missed
B Ayanbadejo,2009-10-05,2010-02-10,RAV,2009,Quadricep/Thigh,12082.0,LB,225.0,73.0,1976-09-06,128.0
C Horton,2009-11-11,2010-02-10,WAS,2009,Toe,9083.0,DB,212.0,72.0,1984-12-29,91.0
C Samuels,2009-10-31,2010-02-10,WAS,2009,Neck,11783.0,T,310.0,77.0,1977-07-28,102.0
K Clancy,2009-11-07,2010-02-10,NOR,2009,Knee,11374.0,DT,305.0,73.0,1978-09-17,95.0
J Dunbar,2009-12-08,2010-02-10,NOR,2009,Hamstring,9036.0,LB,233.0,73.0,1985-03-13,64.0
H Evans,2009-10-29,2010-02-10,NOR,2009,Knee,11261.0,FB,250.0,72.0,1978-12-30,104.0
C Grant,2010-01-05,2010-02-10,NOR,2009,Tricep,11447.0,DE,285.0,75.0,1978-09-03,36.0
R Doughty,2009-12-30,2010-02-10,WAS,2009,Ankle,9918.0,DB,206.0,73.0,1982-11-04,42.0
R Thomas,2009-09-22,2010-02-10,WAS,2009,Tricep,12300.0,GC,306.0,77.0,1976-01-19,141.0
M Williams,2009-12-30,2010-02-10,WAS,2009,Toe,10946.0,T,370.0,78.0,1980-01-11,42.0
L Betts,2009-11-23,2010-02-10,WAS,2009,ACL,11046.0,RB,224.0,71.0,1979-08-27,79.0
J Jarmon,2009-11-30,2010-02-10,WAS,2009,ACL,8046.0,DE,278.0,75.0,1987-11-20,72.0
E Williams,2009-11-23,2010-02-10,WAS,2009,Fibula,8384.0,GC,311.0,74.0,1986-12-10,79.0
C Portis,2009-12-08,2010-02-10,WAS,2009,Concussion,10325.0,RB,218.0,71.0,1981-09-01,64.0
C Taylor,2009-12-01,2010-02-10,SFO,2009,Hip,8907.0,DB,208.0,74.0,1985-07-13,71.0
B Smith,2009-11-23,2010-02-10,JAX,2009,Shoulder,9491.0,LB,226.0,74.0,1983-11-29,79.0
K Phillips,2009-09-24,2010-02-10,NYG,2009,Knee,8340.0,DB,208.0,74.0,1986-11-24,139.0
D Veikune,2010-01-02,2010-02-10,CLE,2009,Knee,8787.0,DE,255.0,74.0,1985-12-12,39.0
D Zastudil,2009-11-18,2010-02-10,CLE,2009,Knee,11346.0,PK,220.0,75.0,1978-10-26,84.0
D Jackson,2009-10-20,2010-02-10,CLE,2009,Shoulder,9521.0,LB,242.0,72.0,1983-09-26,113.0
C Mosley,2009-12-07,2010-02-10,CLE,2009,Ankle,9620.0,DT,315.0,74.0,1983-08-06,65.0
B Pool,2009-12-02,2010-02-10,CLE,2009,Concussion,9323.0,DB,214.0,74.0,1984-05-24,70.0
B Quinn,2009-12-22,2010-02-10,CLE,2009,Foot,9187.0,QB,232.0,76.0,1984-10-27,50.0
E Barton,2009-11-10,2010-02-10,CLE,2009,Shoulder,11730.0,LB,245.0,75.0,1977-09-29,92.0
R Harris,2009-12-09,2010-02-10,DEN,2009,Toe,9039.0,T,299.0,77.0,1985-03-11,63.0
K McKinley,2009-12-28,2010-02-10,DEN,2009,Knee,8367.0,WR,182.0,71.0,1987-01-31,44.0
D McBath,2009-12-14,2010-02-10,DEN,2009,Forearm,8813.0,DB,199.0,72.0,1985-10-28,58.0
T Johnson,2010-01-02,2010-02-10,BUF,2009,Hamstring,11338.0,DB,200.0,73.0,1978-12-18,39.0
T McGee,2009-12-22,2010-02-10,BUF,2009,Shoulder,10661.0,DB,205.0,69.0,1980-10-14,50.0
R Hochstein,2009-12-28,2010-02-10,DEN,2009,Knee,11770.0,GC,300.0,76.0,1977-10-07,44.0
J Lewis,2009-12-02,2010-02-10,CLE,2009,Concussion,11053.0,RB,245.0,71.0,1979-08-29,70.0
J Davis,2009-10-03,2010-02-10,CLE,2009,Shoulder,8676.0,RB,218.0,71.0,1986-01-01,130.0
R Wilson,2009-11-10,2010-02-10,TAM,2009,Hamstring,10225.0,DB,230.0,74.0,1981-11-12,92.0
J Wilkerson,2009-12-28,2010-02-10,TAM,2009,ACL,10585.0,DE,270.0,74.0,1981-01-04,44.0
J Phillips,2009-09-22,2010-02-10,TAM,2009,Thumb,11137.0,DB,214.0,73.0,1979-03-27,141.0
E Graham,2009-12-28,2010-02-10,TAM,2009,Toe,10940.0,RB,225.0,69.0,1980-01-15,44.0
D Johnson,2009-11-30,2010-02-10,TAM,2009,Hamstring,12601.0,PK,210.0,72.0,1975-06-01,72.0
C Smith,2009-12-08,2010-02-10,TAM,2009,Concussion,8923.0,RB,190.0,68.0,1985-07-04,64.0
B Leftwich,2009-11-24,2010-02-10,TAM,2009,Not Specified,10907.0,QB,250.0,77.0,1980-01-14,78.0
B Askew,2009-10-20,2010-02-10,TAM,2009,Foot,10654.0,FB,233.0,75.0,1980-08-19,113.0
S Heiden,2009-11-18,2010-02-10,CLE,2009,Knee,12111.0,TE,270.0,77.0,1976-09-21,84.0
S Rogers,2009-11-30,2010-02-10,CLE,2009,Leg,11221.0,DT,350.0,76.0,1979-03-12,72.0
S McKinney,2009-11-25,2010-02-10,BUF,2009,Knee,11124.0,GC,310.0,75.0,1979-06-12,77.0
N Harris,2010-01-01,2010-02-10,BUF,2009,Knee,8488.0,LB,233.0,74.0,1986-10-06,40.0
A Odom,2009-10-19,2010-02-10,CIN,2009,Achilles,10252.0,DE,275.0,77.0,1981-09-24,114.0
P Tinoisamoa,2009-12-02,2010-02-10,CHI,2009,Knee,10367.0,LB,230.0,73.0,1981-07-15,70.0
I Idonije,2009-12-30,2010-02-10,CHI,2009,Foot,10635.0,DT,275.0,78.0,1980-11-17,42.0
G Wolfe,2009-11-20,2010-02-10,CHI,2009,Not Specified,9226.0,RB,171.0,67.0,1984-08-17,82.0
C Tillman,2009-12-30,2010-02-10,CHI,2009,Rib/Lung,10537.0,DB,210.0,74.0,1981-02-23,42.0
B Urlacher,2009-09-14,2010-02-10,CHI,2009,Wrist,11435.0,LB,258.0,76.0,1978-05-25,149.0
A Ogunleye,2009-12-27,2010-02-10,CHI,2009,Leg,11828.0,DE,260.0,76.0,1977-08-09,45.0
T Pashos,2009-10-27,2010-02-10,SFO,2009,Not Specified,10677.0,T,325.0,78.0,1980-08-03,106.0
R Schmitt,2010-01-02,2010-02-10,SFO,2009,Groin,8904.0,PK,200.0,75.0,1985-08-17,39.0
S Stroughter,2009-12-21,2010-02-10,TAM,2009,Foot,8753.0,WR,182.0,69.0,1986-01-03,51.0
P Sims,2010-01-04,2010-02-10,CIN,2009,Forearm,8802.0,DT,312.0,76.0,1985-11-29,37.0
R Maualuga,2009-12-30,2010-02-10,CIN,2009,Ankle,8380.0,LB,254.0,73.0,1987-01-20,42.0
M Buggs,2009-10-13,2010-02-10,BUF,2009,Knee,8788.0,LB,223.0,70.0,1985-09-21,120.0
L McKelvin,2009-10-01,2010-02-10,BUF,2009,Fibula,8796.0,DB,190.0,71.0,1985-09-01,132.0
K Simmons,2009-12-18,2010-02-10,BUF,2009,Shoulder,11240.0,GC,315.0,75.0,1979-03-11,54.0
K Ellison,2009-11-20,2010-02-10,BUF,2009,Quadricep/Thigh,9419.0,LB,229.0,72.0,1984-02-06,82.0
K Mitchell,2009-10-13,2010-02-10,BUF,2009,Knee,10961.0,LB,253.0,73.0,1979-10-10,120.0
J Byrd,2009-12-23,2010-02-10,BUF,2009,Groin,8478.0,DB,205.0,72.0,1986-10-07,49.0
E Wood,2009-11-24,2010-02-10,BUF,2009,Leg,8652.0,GC,310.0,76.0,1986-03-18,78.0
D Schouman,2009-09-22,2010-02-10,BUF,2009,Knee,8961.0,TE,247.0,74.0,1985-03-11,141.0
D Fine,2009-11-18,2010-02-10,BUF,2009,Knee,9583.0,TE,250.0,74.0,1983-08-24,84.0
D Bell,2009-12-11,2010-02-10,BUF,2009,Knee,9353.0,T,301.0,77.0,1984-05-03,61.0
B Butler,2009-09-22,2010-02-10,BUF,2009,Knee,9501.0,T,292.0,80.0,1983-09-18,141.0
R Williams,2009-11-13,2010-02-10,CIN,2009,Forearm,10683.0,DB,222.0,72.0,1980-08-14,89.0
A Ellison,2010-01-02,2010-02-10,JAX,2009,Knee,10322.0,DT,315.0,75.0,1981-09-29,39.0
T Cox,2009-11-30,2010-02-10,TAM,2009,Hip,10624.0,DB,192.0,70.0,1980-10-29,72.0
S Andrews,2009-09-14,2010-02-10,PHI,2009,Back,10331.0,T,318.0,78.0,1981-06-02,149.0
O Gaither,2009-10-27,2010-02-10,PHI,2009,Foot,9354.0,LB,235.0,74.0,1984-03-18,106.0
J Jackson,2009-12-29,2010-02-10,PHI,2009,ACL,10827.0,GC,325.0,76.0,1980-05-08,43.0
E Hobbs,2009-11-11,2010-02-10,PHI,2009,Neck,9676.0,DB,195.0,69.0,1983-05-16,91.0
W Allen,2009-10-26,2010-02-10,MIA,2009,Knee,11405.0,DB,195.0,70.0,1978-08-05,107.0
P Cobbs,2009-10-14,2010-02-10,MIA,2009,Knee,9753.0,RB,205.0,68.0,1983-01-31,119.0
L Murtha,2009-12-10,2010-02-10,MIA,2009,Ankle,8793.0,T,310.0,79.0,1985-11-13,62.0
J Ferguson,2009-11-23,2010-02-10,MIA,2009,Quadricep/Thigh,12779.0,DT,310.0,75.0,1974-11-28,79.0
C Crowder,2009-12-30,2010-02-10,MIA,2009,Foot,9525.0,LB,250.0,74.0,1983-12-02,42.0
C Pennington,2009-09-29,2010-02-10,MIA,2009,Shoulder,12148.0,QB,230.0,75.0,1976-06-26,134.0
R Brown,2009-11-18,2010-02-10,MIA,2009,Foot,10203.0,RB,223.0,72.0,1981-12-12,84.0
A Harris,2009-12-21,2010-02-10,ATL,2009,Knee,10119.0,DB,205.0,70.0,1982-04-08,51.0
B Finneran,2009-12-14,2010-02-10,ATL,2009,PCL,12371.0,WR,210.0,77.0,1976-01-31,58.0
B Williams,2009-10-20,2010-02-10,ATL,2009,Knee,11068.0,DB,202.0,71.0,1979-07-02,113.0
G Wilkinson,2009-11-11,2010-02-10,NYG,2009,Wrist,9717.0,LB,231.0,75.0,1983-04-05,91.0
D Johnson,2009-12-23,2010-02-10,NYG,2009,Shoulder,8812.0,DB,192.0,73.0,1985-11-07,49.0
D Johnson,2009-12-23,2010-02-10,NYG,2009,Shoulder,9812.0,TE,252.0,77.0,1983-02-11,49.0
B Jacobs,2009-12-31,2010-02-10,NYG,2009,Knee,10040.0,RB,264.0,76.0,1982-07-06,41.0
A Pierce,2009-11-30,2010-02-10,NYG,2009,Neck,11358.0,LB,238.0,73.0,1978-10-26,72.0
A Ross,2009-12-31,2010-02-10,NYG,2009,Hamstring,9969.0,DB,193.0,73.0,1982-09-15,41.0
W Moore,2009-10-27,2010-02-10,ATL,2009,Hamstring,8928.0,DB,223.0,72.0,1985-05-18,106.0
T Gilbert,2009-12-08,2010-02-10,ATL,2009,Hamstring,11011.0,LB,245.0,72.0,1979-10-16,64.0
P Jerry,2009-09-21,2010-02-10,ATL,2009,Knee,9160.0,DT,290.0,73.0,1984-08-23,142.0
M Schneck,2009-11-05,2010-02-10,ATL,2009,Rib/Lung,11781.0,GC,234.0,73.0,1977-08-04,97.0
J Fudge,2009-11-04,2010-02-10,ATL,2009,Knee,9668.0,DB,190.0,70.0,1983-05-17,98.0
H Dahl,2009-12-29,2010-02-10,ATL,2009,Ankle,10415.0,T,308.0,77.0,1981-06-24,43.0
C Houston,2009-12-29,2010-02-10,ATL,2009,Hamstring,9203.0,DB,185.0,70.0,1984-10-18,43.0
T Hagler,2009-11-04,2010-02-10,CLT,2009,Bicep,10198.0,LB,236.0,72.0,1981-12-03,98.0
S Mruczkowski,2009-12-22,2010-02-10,SDG,2009,Ankle,10123.0,GC,310.0,77.0,1982-04-05,50.0
J Tucker,2009-11-18,2010-02-10,SDG,2009,Ankle,9558.0,LB,258.0,75.0,1983-09-18,84.0
J Clary,2009-11-24,2010-02-10,SDG,2009,Ankle,9516.0,T,320.0,78.0,1983-11-05,78.0
J Holt,2010-01-04,2010-02-10,SDG,2009,Shoulder,8442.0,LB,226.0,75.0,1986-11-24,37.0
J Williams,2009-09-19,2010-02-10,SDG,2009,Tricep,12197.0,DT,348.0,75.0,1976-04-28,144.0
A Applewhite,2009-10-20,2010-02-10,SDG,2009,Hamstring,8694.0,LB,246.0,75.0,1985-12-31,113.0
M Gandy,2009-12-23,2010-02-10,CRD,2009,Groin,11312.0,T,316.0,76.0,1979-01-03,49.0
M Ware,2009-12-16,2010-02-10,CRD,2009,Knee,9876.0,DB,210.0,74.0,1982-12-02,56.0
B Cottam,2009-12-22,2010-02-10,KAN,2009,Knee,9155.0,TE,271.0,80.0,1984-11-28,50.0
W Allen,2009-11-11,2010-02-10,TAM,2009,Thumb,10009.0,DB,202.0,73.0,1982-06-17,91.0
D Savage,2009-12-19,2010-02-10,KAN,2009,Ankle,9073.0,RB,187.0,68.0,1985-02-15,53.0
T Santi,2010-01-02,2010-02-10,CLT,2009,Back,8807.0,TE,250.0,77.0,1985-11-22,39.0
M Jackson,2009-11-06,2010-02-10,CLT,2009,Knee,9626.0,DB,196.0,72.0,1983-06-30,96.0
J Sorgi,2009-12-09,2010-02-10,CLT,2009,Shoulder,10598.0,QB,196.0,77.0,1980-12-03,63.0
D Federkeil,2009-11-22,2010-02-10,CLT,2009,Concussion,9510.0,T,290.0,78.0,1983-11-09,80.0
A Gonzalez,2009-12-24,2010-02-10,CLT,2009,Knee,9228.0,WR,193.0,72.0,1984-09-18,48.0
M Goff,2009-11-11,2010-02-10,KAN,2009,Shoulder,12363.0,GC,311.0,77.0,1976-01-06,91.0
M Leggett,2009-11-25,2010-02-10,KAN,2009,Shoulder,8455.0,DB,188.0,71.0,1986-10-02,77.0
K Smith,2009-12-05,2010-02-10,KAN,2009,Ankle,11776.0,DT,295.0,76.0,1977-09-08,67.0
K Smith,2009-12-05,2010-02-10,KAN,2009,Ankle,9121.0,RB,214.0,71.0,1984-12-15,67.0
J Page,2009-11-04,2010-02-10,KAN,2009,Calf,9147.0,DB,225.0,72.0,1984-10-19,98.0
J Battle,2009-10-14,2010-02-10,KAN,2009,Shoulder,9510.0,RB,238.0,74.0,1983-10-01,119.0
D Morgan,2009-12-26,2010-02-10,KAN,2009,Pectoral/Chest,8832.0,DB,200.0,73.0,1985-10-21,46.0
N Harper,2009-12-30,2010-02-10,OTI,2009,Forearm,12895.0,DB,182.0,70.0,1974-09-10,42.0
W Welker,2010-07-27,2010-08-01,NWE,2010,Knee,10679.0,WR,185.0,69.0,1981-05-01,5.0
T Heap,2010-07-29,2010-08-01,RAV,2010,Foot,11092.0,TE,252.0,77.0,1980-03-16,3.0
J Williams,2010-07-28,2010-08-05,DEN,2010,Not Specified,12509.0,DT,348.0,75.0,1976-04-28,8.0
R Meachem,2010-07-29,2010-08-16,NOR,2010,Not Specified,9435.0,WR,214.0,74.0,1984-09-28,18.0
S Rogers,2010-07-27,2010-09-04,CLE,2010,Leg,11460.0,DT,350.0,76.0,1979-03-12,39.0
C Davis,2010-09-04,2010-09-08,CAR,2010,Concussion,8615.0,GC,310.0,75.0,1987-02-02,4.0
T Nelson,2010-08-30,2010-10-20,CIN,2010,Knee,8670.0,DB,200.0,71.0,1986-12-04,51.0
J Corto,2010-09-04,2010-10-22,BUF,2010,Wrist,9487.0,DB,208.0,72.0,1984-09-13,48.0
B Ayanbadejo,2010-08-31,2010-10-23,RAV,2010,Quadricep/Thigh,12412.0,LB,225.0,73.0,1976-09-06,53.0
E Reed,2010-09-04,2010-10-23,RAV,2010,Hip,11681.0,DB,205.0,71.0,1978-09-11,49.0
D Sharper,2010-09-04,2010-10-23,NOR,2010,Not Specified,12724.0,DB,210.0,74.0,1975-11-03,49.0
G Hayes,2010-09-03,2010-10-30,CRD,2010,Back,10920.0,LB,250.0,73.0,1980-10-10,57.0
O Schofield,2010-08-31,2010-10-30,CRD,2010,Foot,8551.0,LB,238.0,74.0,1987-04-03,60.0
