Team,Year,Injury_Category,Age,Pos,Wt,Ht,Month_Injured,Day_Of_Team_Year
PIT,2020.0,Knee,8841.0,TE,265.0,80.0,11,267.0
PIT,2020.0,Knee,9868.0,DT,300.0,77.0,10,243.0
NYG,2014.0,Pectoral/Chest,10678.0,DE,275.0,75.0,12,273.0
CLT,2012.0,Toe,9248.0,DB,190.0,69.0,11,255.0
DEN,2012.0,Ankle,9323.0,GC,299.0,75.0,10,213.0
RAV,2020.0,Covid/Illness,8897.0,DB,182.0,68.0,11,273.0
HTX,2020.0,Concussion,10561.0,RB,224.0,73.0,11,257.0
CLE,2015.0,Concussion,9740.0,DB,195.0,71.0,12,286.0
KAN,2016.0,Knee,8711.0,OG,310.0,78.0,11,248.0
HTX,2017.0,Foot,8803.0,DE,300.0,78.0,7,144.0
OTI,2019.0,Not Specified,12781.0,TE,248.0,74.0,8,160.0
PIT,2020.0,Covid/Illness,9887.0,T,305.0,78.0,11,253.0
BUF,2020.0,Hamstring,11960.0,DB,200.0,72.0,9,194.0
NWE,2020.0,Rib/Lung,11444.0,S,203.0,74.0,10,217.0
SFO,2018.0,Knee,8468.0,WR,195.0,73.0,12,301.0
CRD,2017.0,Arm,10744.0,WR,186.0,71.0,12,291.0
CLE,2020.0,Covid/Illness,9514.0,OG,314.0,76.0,12,281.0
PIT,2015.0,Foot,8673.0,FB,248.0,71.0,12,300.0
CLE,2014.0,Not Specified,8577.0,RB,225.0,70.0,7,142.0
GNB,2018.0,Shoulder,9125.0,DB,186.0,71.0,12,294.0
PHI,2011.0,Ankle,9589.0,LB,228.0,73.0,11,271.0
GNB,2018.0,Not Specified,9701.0,S,210.0,71.0,12,276.0
RAV,2014.0,Quadricep/Thigh,8235.0,DB,182.0,71.0,12,278.0
PIT,2020.0,Covid/Illness,11454.0,GC,304.0,76.0,12,275.0
DAL,2013.0,Tricep,13406.0,GC,320.0,75.0,11,244.0
SEA,2013.0,Toe,9114.0,T,310.0,77.0,9,201.0
NYJ,2020.0,Shoulder,8540.0,WR,195.0,73.0,9,189.0
CRD,2018.0,Neck,9970.0,T,328.0,79.0,11,245.0
DEN,2019.0,Hand,9423.0,WR,212.0,76.0,9,192.0
SFO,2016.0,Hamstring,9042.0,WR,227.0,74.0,9,186.0
NWE,2020.0,Neck,9448.0,LB,250.0,77.0,12,304.0
CLE,2020.0,Knee,8089.0,OL,293.0,73.0,1,308.0
BUF,2015.0,Knee,10024.0,WR,200.0,71.0,11,249.0
CLT,2019.0,Not Specified,9242.0,WR,225.0,76.0,9,190.0
NYG,2015.0,Ankle,9999.0,LB,241.0,73.0,12,303.0
SFO,2016.0,Shoulder,9266.0,TE,260.0,78.0,12,292.0
JAX,2014.0,Finger,10964.0,DB,212.0,72.0,11,245.0
RAV,2020.0,Ankle,9727.0,T,315.0,78.0,11,246.0
OTI,2015.0,Hamstring,8312.0,LB,250.0,74.0,9,182.0
SFO,2015.0,Knee,10463.0,T,330.0,79.0,12,298.0
OTI,2014.0,Knee,11694.0,T,313.0,79.0,10,222.0
JAX,2012.0,Foot,9830.0,DB,185.0,73.0,12,295.0
SFO,2020.0,Hamstring,9145.0,WR,185.0,69.0,9,200.0
TAM,2013.0,Knee,10381.0,DB,178.0,68.0,11,260.0
HTX,2012.0,Tricep,10031.0,T,299.0,77.0,8,178.0
CLE,2016.0,Not Specified,9254.0,OG,312.0,75.0,12,299.0
OTI,2019.0,Not Specified,8735.0,TE,248.0,75.0,7,141.0
CLT,2018.0,Ankle,8838.0,WR,207.0,73.0,10,227.0
CLT,2018.0,Not Specified,10432.0,TE,262.0,78.0,11,268.0
WAS,2020.0,Covid/Illness,10621.0,TE,250.0,78.0,7,149.0
NYJ,2018.0,Ankle,9708.0,WR,225.0,74.0,12,301.0
CLE,2010.0,Ankle,11035.0,T,325.0,78.0,10,231.0
RAI,2017.0,Knee,9029.0,DB,188.0,72.0,10,225.0
JAX,2018.0,Knee,7918.0,S,214.0,75.0,12,294.0
PHI,2014.0,Knee,9104.0,S,209.0,71.0,11,260.0
BUF,2020.0,Covid/Illness,10339.0,S,203.0,73.0,11,257.0
DEN,2020.0,Knee,8660.0,DL,281.0,75.0,9,203.0
HTX,2015.0,Achilles,10656.0,RB,227.0,73.0,10,238.0
BUF,2017.0,Neck,10785.0,WR,210.0,76.0,12,298.0
MIA,2019.0,Ankle,8035.0,DE,280.0,76.0,9,193.0
TAM,2018.0,Hip,11805.0,GC,308.0,74.0,11,255.0
OTI,2015.0,Knee,9243.0,DT,307.0,73.0,12,294.0
MIA,2009.0,Quadricep/Thigh,12779.0,DT,310.0,75.0,11,265.0
DET,2016.0,Knee,8372.0,TE,257.0,78.0,11,244.0
NYJ,2020.0,Covid/Illness,8479.0,DB,202.0,73.0,7,148.0
SDG,2012.0,Wrist,9672.0,GC,237.0,73.0,11,263.0
NYJ,2013.0,Foot,9164.0,DB,190.0,72.0,7,142.0
SFO,2016.0,Pectoral/Chest,9332.0,LB,220.0,75.0,9,203.0
TAM,2016.0,Knee,9767.0,LB,238.0,76.0,11,250.0
JAX,2016.0,Ankle,8171.0,T,330.0,77.0,12,293.0
NWE,2009.0,Groin,8464.0,DB,210.0,73.0,12,281.0
KAN,2012.0,Calf,9964.0,DT,316.0,74.0,11,254.0
JAX,2020.0,Quadricep/Thigh,8842.0,RB,193.0,71.0,10,229.0
HTX,2013.0,Rib/Lung,9250.0,RB,214.0,71.0,12,290.0
PHI,2009.0,ACL,10827.0,GC,325.0,76.0,12,301.0
SDG,2018.0,Ankle,9089.0,LB,221.0,71.0,1,310.0
HTX,2019.0,Wrist,10730.0,T,301.0,75.0,9,206.0
BUF,2010.0,Wrist,10342.0,WR,175.0,69.0,11,250.0
SFO,2020.0,Not Specified,11854.0,T,320.0,77.0,1,304.0
DET,2011.0,Concussion,8334.0,RB,190.0,69.0,11,267.0
NWE,2020.0,Covid/Illness,9374.0,RB,215.0,71.0,10,229.0
GNB,2020.0,ACL,10687.0,T,310.0,76.0,1,305.0
HTX,2018.0,Hamstring,9896.0,WR,200.0,69.0,9,206.0
PHI,2019.0,Hip,9487.0,DB,193.0,71.0,12,296.0
SEA,2011.0,Achilles,8884.0,DB,206.0,72.0,12,285.0
CLE,2014.0,Fibula,10559.0,GC,311.0,76.0,10,228.0
RAI,2015.0,Pectoral/Chest,11893.0,DE,265.0,77.0,10,231.0
PIT,2015.0,ACL,9629.0,T,308.0,75.0,10,230.0
MIA,2016.0,Calf,10581.0,DT,310.0,75.0,9,195.0
CIN,2013.0,ACL,9352.0,DT,300.0,73.0,11,246.0
DET,2016.0,Foot,8501.0,RB,196.0,69.0,9,203.0
CLE,2020.0,Quadricep/Thigh,9606.0,DB,215.0,74.0,1,310.0
SFO,2016.0,Bicep,9115.0,S,215.0,73.0,11,266.0
RAI,2016.0,Hip,8259.0,DE,280.0,75.0,9,187.0
CIN,2010.0,Ankle,8512.0,DB,191.0,71.0,12,282.0
OTI,2019.0,Not Specified,8773.0,TE,248.0,75.0,8,179.0
DAL,2020.0,Knee,10998.0,GC,315.0,75.0,10,222.0
WAS,2011.0,ACL,9286.0,RB,226.0,72.0,10,236.0
PHI,2011.0,Knee,9716.0,WR,195.0,72.0,12,284.0
HTX,2017.0,Ankle,9000.0,GC,295.0,76.0,12,291.0
MIN,2019.0,Not Specified,8200.0,DB,186.0,70.0,7,145.0
MIN,2013.0,Knee,8551.0,FB,233.0,73.0,9,204.0
DET,2017.0,Not Specified,11119.0,DB,202.0,71.0,7,144.0
DET,2019.0,Pectoral/Chest,8329.0,DE,260.0,77.0,9,183.0
MIA,2019.0,Pectoral/Chest,11591.0,DB,215.0,73.0,11,262.0
SEA,2016.0,Tibia,10075.0,DB,202.0,70.0,12,279.0
GNB,2009.0,Back,9820.0,GC,298.0,75.0,11,249.0
MIN,2019.0,MCL,10335.0,GC,315.0,74.0,11,256.0
CLE,2020.0,Covid/Illness,9093.0,DE,272.0,76.0,11,263.0
CHI,2017.0,Knee,11028.0,DT,274.0,75.0,9,183.0
NYJ,2010.0,ACL,11366.0,DT,360.0,76.0,9,196.0
PHI,2018.0,ACL,9246.0,RB,223.0,72.0,10,219.0
NYG,2013.0,Knee,11713.0,GC,312.0,76.0,10,234.0
JAX,2015.0,Hip,8706.0,RB,203.0,71.0,10,231.0
MIA,2020.0,Covid/Illness,9544.0,DB,182.0,70.0,12,282.0
CLE,2015.0,Hamstring,8374.0,DB,175.0,71.0,9,188.0
SFO,2020.0,Not Specified,8832.0,RB,205.0,68.0,11,260.0
SDG,2014.0,Knee,10346.0,GC,323.0,73.0,10,217.0
DET,2009.0,Knee,7991.0,QB,220.0,75.0,12,296.0
JAX,2018.0,Not Specified,9506.0,TE,262.0,77.0,10,220.0
DEN,2020.0,Knee,9652.0,RB,190.0,68.0,12,299.0
KAN,2009.0,Pectoral/Chest,8832.0,DB,200.0,73.0,12,298.0
CIN,2016.0,Shoulder,10093.0,GC,305.0,77.0,12,299.0
CLT,2017.0,Quadricep/Thigh,8446.0,GC,299.0,73.0,10,214.0
PIT,2018.0,Shoulder,10060.0,WR,203.0,76.0,12,276.0
MIA,2019.0,Knee,9064.0,LB,239.0,74.0,9,207.0
OTI,2009.0,ACL,11949.0,LB,235.0,75.0,12,293.0
WAS,2013.0,Knee,10713.0,LB,234.0,74.0,10,226.0
CLT,2015.0,Shoulder,9746.0,DT,300.0,76.0,12,293.0
RAI,2019.0,Ankle,8739.0,LB,235.0,75.0,9,205.0
PHI,2020.0,Covid/Illness,10579.0,DB,180.0,68.0,1,306.0
CAR,2020.0,Covid/Illness,8884.0,WR,195.0,71.0,12,280.0
KAN,2014.0,Foot,9461.0,DB,212.0,72.0,11,266.0
SDG,2020.0,Covid/Illness,8821.0,T,307.0,78.0,10,242.0
HTX,2011.0,Pectoral/Chest,9750.0,DE,300.0,78.0,10,223.0
KAN,2020.0,Hamstring,10851.0,DE,261.0,76.0,10,236.0
SEA,2020.0,Covid/Illness,9178.0,DT,345.0,75.0,12,278.0
NWE,2013.0,ACL,8975.0,TE,265.0,78.0,12,281.0
NYJ,2020.0,Neck,10316.0,LB,250.0,74.0,12,295.0
NOR,2015.0,Pectoral/Chest,10353.0,S,203.0,71.0,9,196.0
BUF,2016.0,Ankle,12064.0,DB,202.0,73.0,12,286.0
HTX,2020.0,Not Specified,8577.0,TE,252.0,77.0,9,197.0
DAL,2014.0,Not Specified,9217.0,GC,320.0,75.0,7,143.0
CAR,2017.0,Ankle,7775.0,WR,195.0,71.0,11,266.0
CHI,2018.0,Pectoral/Chest,10989.0,LB,259.0,75.0,10,219.0
SDG,2020.0,Shoulder,8795.0,DT,309.0,75.0,9,208.0
SFO,2019.0,Patellar Tendon,10382.0,GC,290.0,76.0,12,283.0
SEA,2017.0,Foot,9413.0,LB,249.0,75.0,12,274.0
OTI,2010.0,ACL,7941.0,DE,261.0,76.0,10,215.0
RAV,2012.0,Knee,8192.0,S,213.0,72.0,11,260.0
HTX,2010.0,Shoulder,10138.0,GC,310.0,77.0,12,287.0
RAI,2018.0,Groin,12943.0,T,315.0,76.0,10,214.0
PHI,2012.0,ACL,9803.0,DB,194.0,70.0,8,178.0
BUF,2015.0,Foot,10960.0,DB,190.0,71.0,9,185.0
CLT,2017.0,Rib/Lung,8869.0,RB,205.0,70.0,9,184.0
CIN,2020.0,Hamstring,9277.0,DB,199.0,72.0,12,278.0
MIA,2015.0,Not Specified,9059.0,DT,316.0,73.0,12,280.0
HTX,2018.0,Quadricep/Thigh,10112.0,DB,190.0,71.0,10,220.0
SFO,2019.0,Concussion,11416.0,TE,252.0,77.0,8,181.0
CAR,2011.0,Hamstring,8657.0,DB,195.0,69.0,12,295.0
KAN,2019.0,Shoulder,10259.0,RB,224.0,70.0,12,297.0
CLT,2020.0,Achilles,8939.0,S,212.0,74.0,9,204.0
CRD,2011.0,Arm,8940.0,DT,330.0,74.0,11,264.0
SEA,2017.0,ACL,10293.0,DB,212.0,74.0,9,183.0
RAI,2014.0,Foot,8826.0,DB,190.0,71.0,8,176.0
PIT,2020.0,Covid/Illness,9339.0,RB,233.0,73.0,11,271.0
CLT,2013.0,ACL,12758.0,WR,203.0,72.0,10,233.0
SFO,2020.0,Ankle,9376.0,DE,270.0,76.0,1,304.0
DAL,2012.0,Toe,9591.0,LB,245.0,74.0,10,236.0
DEN,2011.0,Leg,10606.0,GC,303.0,76.0,1,305.0
KAN,2013.0,Foot,9621.0,TE,255.0,75.0,12,289.0
OTI,2019.0,Ankle,8771.0,DB,203.0,72.0,9,183.0
ATL,2011.0,Knee,11459.0,FB,250.0,73.0,10,236.0
PHI,2011.0,Tricep,9575.0,DT,325.0,74.0,10,215.0
KAN,2018.0,Not Specified,9366.0,TE,245.0,76.0,10,214.0
CLT,2011.0,Foot,9877.0,LB,245.0,74.0,12,300.0
PIT,2011.0,Foot,8170.0,RB,235.0,71.0,12,280.0
CRD,2016.0,Groin,10890.0,DB,197.0,71.0,10,216.0
KAN,2009.0,Ankle,9121.0,RB,214.0,71.0,12,277.0
KAN,2017.0,Knee,12357.0,DE,275.0,75.0,9,183.0
DAL,2017.0,Knee,10747.0,DT,306.0,73.0,10,224.0
OTI,2012.0,ACL,10380.0,GC,298.0,74.0,11,249.0
KAN,2020.0,Covid/Illness,11629.0,RB,242.0,70.0,10,225.0
KAN,2009.0,Ankle,9073.0,RB,187.0,68.0,12,291.0
JAX,2020.0,ACL,9836.0,WR,178.0,72.0,10,238.0
BUF,2020.0,Covid/Illness,10194.0,T,330.0,78.0,7,149.0
CAR,2019.0,Quadricep/Thigh,10693.0,DT,346.0,75.0,11,269.0
RAI,2016.0,Hamstring,9655.0,DB,190.0,71.0,12,275.0
MIA,2014.0,ACL,9952.0,RB,215.0,70.0,10,225.0
NYJ,2020.0,Ankle,9190.0,TE,267.0,75.0,11,252.0
NYG,2015.0,Knee,8987.0,FB,251.0,70.0,12,295.0
OTI,2015.0,Ankle,8946.0,WR,203.0,76.0,11,258.0
RAV,2019.0,Not Specified,10937.0,S,225.0,74.0,10,214.0
DET,2014.0,Foot,8547.0,DB,192.0,69.0,9,197.0
CIN,2013.0,Achilles,10551.0,DB,195.0,71.0,10,240.0
WAS,2018.0,Tibia,12614.0,QB,213.0,76.0,11,261.0
SEA,2016.0,Groin,10488.0,LB,224.0,76.0,10,215.0
DAL,2020.0,Knee,8607.0,OL,314.0,77.0,10,236.0
CIN,2013.0,Foot,11386.0,TE,250.0,76.0,7,143.0
CAR,2015.0,ACL,9931.0,T,305.0,76.0,11,267.0
CHI,2012.0,ACL,10078.0,GC,303.0,74.0,11,269.0
JAX,2018.0,Ankle,8943.0,WR,170.0,71.0,10,226.0
TAM,2014.0,Pectoral/Chest,10764.0,DB,200.0,72.0,9,191.0
MIA,2020.0,Covid/Illness,8507.0,WR,190.0,69.0,8,154.0
KAN,2011.0,ACL,9032.0,RB,199.0,71.0,9,200.0
ATL,2020.0,Covid/Illness,8373.0,S,208.0,73.0,7,148.0
JAX,2013.0,Knee,9140.0,TE,255.0,75.0,10,219.0
OTI,2020.0,Quadricep/Thigh,9325.0,LB,246.0,75.0,12,288.0
SDG,2014.0,Shoulder,12498.0,PK,215.0,74.0,12,299.0
RAV,2009.0,Not Specified,9082.0,GC,305.0,75.0,7,147.0
PHI,2020.0,Covid/Illness,9436.0,T,332.0,79.0,10,228.0
NYJ,2015.0,Foot,9244.0,DE,270.0,76.0,12,280.0
OTI,2020.0,Not Specified,10486.0,T,311.0,77.0,11,267.0
MIA,2017.0,Groin,9292.0,T,312.0,78.0,11,253.0
KAN,2020.0,Knee,9452.0,T,311.0,77.0,9,187.0
JAX,2020.0,Quadricep/Thigh,8858.0,DB,200.0,75.0,10,229.0
MIA,2010.0,Hamstring,13149.0,DB,190.0,73.0,12,279.0
CHI,2017.0,Knee,9207.0,LB,240.0,77.0,11,265.0
PHI,2020.0,Covid/Illness,9766.0,DB,191.0,72.0,12,304.0
CIN,2020.0,Foot,10659.0,GC,318.0,76.0,12,304.0
CIN,2017.0,Hamstring,9874.0,LB,246.0,72.0,12,287.0
MIA,2019.0,Ankle,9889.0,WR,171.0,67.0,11,269.0
SFO,2020.0,Not Specified,9411.0,QB,210.0,73.0,12,298.0
RAM,2015.0,Shoulder,9085.0,S,215.0,74.0,12,283.0
NOR,2014.0,Knee,9272.0,LB,240.0,74.0,11,246.0
HTX,2017.0,Concussion,9457.0,TE,265.0,77.0,9,193.0
RAV,2012.0,Knee,9290.0,WR,188.0,72.0,8,178.0
MIN,2020.0,Covid/Illness,8779.0,DL,307.0,77.0,8,155.0
DAL,2013.0,Groin,10548.0,DE,263.0,75.0,10,229.0
PHI,2020.0,Wrist,8673.0,DE,265.0,77.0,12,299.0
JAX,2020.0,Quadricep/Thigh,8920.0,DB,200.0,75.0,12,291.0
CIN,2020.0,Covid/Illness,12172.0,DE,295.0,80.0,11,252.0
MIA,2009.0,Knee,11405.0,DB,195.0,70.0,10,237.0
OTI,2010.0,Concussion,10940.0,DE,255.0,77.0,12,290.0
CIN,2014.0,Not Specified,9204.0,GC,305.0,77.0,7,140.0
CRD,2013.0,Foot,11073.0,LB,245.0,73.0,9,204.0
KAN,2014.0,Shoulder,9183.0,WR,192.0,72.0,11,263.0
ATL,2014.0,Shoulder,10727.0,DB,223.0,72.0,9,211.0
RAM,2018.0,Hip,8799.0,WR,189.0,73.0,9,199.0
CRD,2017.0,Wrist,9402.0,RB,224.0,73.0,9,193.0
JAX,2012.0,Shoulder,10135.0,RB,234.0,73.0,12,297.0
NOR,2017.0,Knee,12430.0,GC,320.0,79.0,10,214.0
JAX,2011.0,Hamstring,8275.0,DB,185.0,71.0,10,229.0
CLT,2017.0,Pectoral/Chest,9949.0,DB,192.0,73.0,12,276.0
KAN,2009.0,Ankle,11776.0,DT,295.0,76.0,12,277.0
SEA,2012.0,ACL,11393.0,LB,255.0,75.0,1,312.0
JAX,2018.0,Foot,9791.0,RB,203.0,71.0,10,220.0
RAV,2020.0,Covid/Illness,8411.0,DL,293.0,75.0,11,270.0
RAI,2020.0,Covid/Illness,10695.0,OG,335.0,75.0,10,234.0
NOR,2016.0,Foot,9796.0,LB,243.0,74.0,11,257.0
JAX,2014.0,Ankle,11077.0,TE,267.0,78.0,9,197.0
NWE,2016.0,Thumb,8701.0,QB,235.0,76.0,10,219.0
CLT,2020.0,Foot,8008.0,S,187.0,72.0,7,147.0
HTX,2012.0,Hip,9132.0,LB,229.0,72.0,1,304.0
PHI,2014.0,Achilles,11055.0,LB,247.0,73.0,11,245.0
NYJ,2016.0,Knee,9622.0,DE,270.0,76.0,12,293.0
CIN,2014.0,Not Specified,9611.0,DT,300.0,73.0,7,140.0
CLT,2018.0,Foot,11591.0,DT,330.0,76.0,12,290.0
TAM,2020.0,Covid/Illness,8485.0,RB,214.0,70.0,7,147.0
MIN,2011.0,Concussion,12474.0,GC,313.0,77.0,12,299.0
SDG,2015.0,Foot,8665.0,WR,210.0,76.0,11,245.0
CAR,2011.0,Knee,8555.0,DB,192.0,70.0,9,184.0
NYJ,2018.0,Hamstring,10659.0,WR,217.0,72.0,12,290.0
MIA,2014.0,ACL,8956.0,DB,186.0,71.0,11,256.0
PHI,2015.0,Bicep,9770.0,GC,298.0,72.0,9,196.0
RAV,2020.0,Covid/Illness,9681.0,FB,311.0,75.0,11,270.0
WAS,2011.0,Achilles,9923.0,DB,214.0,73.0,12,287.0
GNB,2013.0,Hamstring,8432.0,LB,246.0,73.0,11,247.0
TAM,2011.0,Achilles,10663.0,GC,250.0,73.0,9,184.0
DEN,2020.0,Shoulder,10624.0,DB,191.0,72.0,9,198.0
CLT,2017.0,Hand,10313.0,DB,195.0,74.0,12,299.0
JAX,2014.0,Hamstring,8773.0,GC,305.0,79.0,12,275.0
NYJ,2012.0,Pectoral/Chest,9244.0,LB,250.0,73.0,10,222.0
CLE,2017.0,Achilles,8519.0,DB,185.0,71.0,11,250.0
HTX,2012.0,Quadricep/Thigh,9004.0,LB,229.0,72.0,8,177.0
OTI,2015.0,Calf,8130.0,RB,229.0,71.0,9,187.0
CAR,2012.0,Foot,10057.0,GC,300.0,74.0,10,222.0
NYG,2013.0,Not Specified,8972.0,DE,275.0,77.0,7,145.0
GNB,2013.0,Not Specified,9526.0,LB,262.0,75.0,7,144.0
RAV,2015.0,Forearm,11001.0,RB,195.0,68.0,11,269.0
NYJ,2020.0,Covid/Illness,9420.0,DT,318.0,76.0,12,290.0
SDG,2020.0,Covid/Illness,9557.0,DB,197.0,74.0,11,250.0
JAX,2018.0,Knee,9277.0,TE,258.0,77.0,9,183.0
CLT,2020.0,Quadricep/Thigh,10444.0,S,210.0,71.0,12,289.0
BUF,2014.0,Not Specified,10545.0,DB,190.0,71.0,7,135.0
TAM,2012.0,Hamstring,9406.0,DB,202.0,71.0,11,270.0
CRD,2020.0,Concussion,9731.0,DB,185.0,71.0,11,254.0
SEA,2010.0,Concussion,12129.0,GC,290.0,77.0,11,244.0
CIN,2020.0,Covid/Illness,8339.0,DE,280.0,76.0,12,279.0
OTI,2012.0,Knee,12818.0,GC,313.0,77.0,12,278.0
CRD,2011.0,Knee,12692.0,LB,248.0,75.0,12,293.0
TAM,2020.0,Covid/Illness,9694.0,PK,229.0,77.0,12,288.0
HTX,2013.0,Not Specified,8533.0,WR,214.0,73.0,7,144.0
NYJ,2013.0,Knee,9642.0,RB,195.0,71.0,10,226.0
SFO,2020.0,Covid/Illness,8888.0,RB,202.0,68.0,12,290.0
NYG,2020.0,Covid/Illness,11055.0,LS,250.0,73.0,11,261.0
NOR,2015.0,Shoulder,9484.0,RB,215.0,69.0,12,281.0
CHI,2011.0,Ankle,8334.0,DB,203.0,74.0,12,291.0
DEN,2020.0,ACL,9154.0,DB,199.0,74.0,12,289.0
WAS,2009.0,Ankle,9918.0,DB,206.0,73.0,12,302.0
CIN,2018.0,Pectoral/Chest,8970.0,DT,345.0,75.0,11,264.0
